ipd_id,id,name,is_active,created_at,updated_at,ipdb_link,year,manufacturer,machine_group_id,ipdb_id,opdb_id,rating,flippers,units
2,1263,Abra Ca Dabra,False,2012-03-22T16:20:10.000-07:00,2018-07-16T09:00:52.050-07:00,http://ipdb.org/machine.cgi?id=2,1975,Gottlieb,,2.0,GRpZ2-MkPyb,8.0,2.0,2825.0
7,1961,Ace High,False,2014-02-26T11:13:13.174-08:00,2018-07-16T09:00:53.787-07:00,http://ipdb.org/machine.cgi?id=7,1957,Gottlieb,,7.0,GrlJ3-M2YvO,8.0,2.0,2100.0
11,821,Aces and Kings,False,,2018-07-16T09:00:53.331-07:00,http://ipdb.org/machine.cgi?id=11,1970,Williams,,11.0,G5oK2-M9R6y,6.0,2.0,4153.0
20,687,The Addams Family,False,,2018-07-16T09:00:42.555-07:00,http://ipdb.org/machine.cgi?id=20,1992,Bally,55.0,20.0,G4ODR-MDXEy,8.0,4.0,20270.0
21,2514,The Addams Family Gold,,2016-01-09T06:26:47.132-08:00,2018-07-16T09:00:45.008-07:00,http://ipdb.org/machine.cgi?id=21,1994,Bally,55.0,21.0,G4ODR-MLzY7,8.0,4.0,1000.0
23,755,The Adventures of Rocky and Bullwinkle and Friends,False,,2018-07-16T09:00:41.854-07:00,http://ipdb.org/machine.cgi?id=23,1993,Data East,,23.0,G5vnL-MJP3y,8.0,2.0,5500.0
24,2717,Aerobatics,,2016-09-14T20:57:42.301-07:00,2018-07-16T09:00:53.755-07:00,http://ipdb.org/machine.cgi?id=24,1977,Zaccaria,,24.0,G5WJw-MkP98,,2.0,
25,3182,Af-Tor,False,2019-10-10T15:28:09.197-07:00,2019-10-10T15:28:52.993-07:00,https://www.ipdb.org/machine.cgi?id=25,1984,Wico,,25.0,GRY7E-MLbEo,,2.0,
26,884,Agents 777,False,,2018-07-16T09:00:49.942-07:00,http://ipdb.org/machine.cgi?id=26,1984,Game Plan,,26.0,Grkpd-MQrjj,,,400.0
27,1282,A-Go-Go,False,2012-04-14T11:56:58.000-07:00,2018-07-16T09:00:47.368-07:00,http://ipdb.org/machine.cgi?id=27,1966,Williams,,27.0,G5oO9-MJYE4,8.0,4.0,5100.0
28,968,Air Aces,False,,2018-07-16T09:00:51.800-07:00,http://ipdb.org/machine.cgi?id=28,1974,Bally,,28.0,G420v-M1rYR,6.0,4.0,3085.0
33,3146,Airborne Avenger,False,2019-05-23T01:06:10.694-07:00,2019-05-23T08:30:54.053-07:00,http://www.ipdb.org/machine.cgi?id=33,1977,Atari,,33.0,G4dZZ-MKNzE,,2.0,3420.0
35,2598,Airport,,2016-04-18T06:06:09.929-07:00,2018-07-16T09:00:47.475-07:00,http://ipdb.org/machine.cgi?id=35,1969,Gottlieb,,35.0,GrOQ1-MQPje,6.0,2.0,1900.0
40,1600,Aladdin's Castle,False,2013-05-12T09:12:41.738-07:00,2018-07-16T09:00:43.586-07:00,http://ipdb.org/machine.cgi?id=40,1975,Bally,,40.0,G5oXq-MD82e,8.0,3.0,4155.0
42,2093,Algar,False,2014-05-27T11:00:31.504-07:00,2018-07-16T09:00:47.957-07:00,http://ipdb.org/machine.cgi?id=42,1980,Williams,,42.0,G5nQQ-MLbbp,7.0,2.0,349.0
